T3_warm_38p0C_no_light_trial1.csv: middle finger, warmed with warm water and dried before measurement. 
Initial finger temperature measured by the Terumo thermometer was approximately 40.0°C. No-light/covered condition, approximately 60 seconds.
time_ms, red, ir
2193665,124805,134288
2193773,124388,133224
2193881,124667,133894
2193989,124951,134604
2194097,124709,134034
2194205,124698,134035
2194312,124972,134743
2194420,124998,134786
2194528,124462,133376
2194636,124620,133830
2194744,124847,134424
2194852,124770,134241
2194960,124719,134148
2195068,124790,134355
2195177,124999,134918
2195284,124715,134160
2195392,124412,133355
2195500,124607,133850
2195608,124638,133943
2195715,124614,133913
2195823,124883,134584
2195931,125042,135035
2196039,125069,135109
2196147,124734,134255
2196255,124313,133159
2196362,124507,133639
2196470,124621,134001
2196578,124575,133870
2196686,124669,134167
2196794,125039,135159
2196901,125310,135853
2197009,125366,135944
2197117,124690,134054
2197226,124139,133125
2197334,118651,121353
